term,reading,category,definition
付随費用,ふずいひよう,固定資産,購入した資産が実際に使用できるようになるまでにかかった諸経費のこと。
普通預金,ふつうよきん,預金,自由に預け入れ、払い戻しができる預金口座のこと。
振替伝票,ふりかえでんぴょう,帳簿,現金取引以外の取引を記入する伝票。
振出人,ふりだしにん,手形,手形を振り出す人。また、約束手形においては手形代金を支払う人。
振り出す,ふりだす,手形,手形を発行すること。
分記法,ぶんきほう,商品,「商品」「商品売買益」の２つの勘定科目を使用して商品売買を記録する方法のこと。
法人税,ほうじんぜい,税金,株式会社などの法人の利益に対して課される税金。
法人税等,ほうじんぜいとう,税金,法人税、住民税、事業税の総称。
補助簿,ほじょぼ,帳簿,主要簿を補助するために必要に応じて作成される帳簿。
簿記,ぼき,基本,会社の取引を帳簿に記録するための技術（技法）のこと。
見越し,みこし,決算,当期中にすでに役務の提供を受けた分を、当期の費用として計上する処理のこと。
役員,やくいん,給与,会社の取締役、会計参与、監査役の総称のこと。いわゆる経営陣。
約束手形,やくそくてがた,手形,振出人が受取人に対して、一定の期日までに一定の金額の支払いを約束する証券のこと。
家賃,やちん,その他,建物の賃借料。
有形固定資産,ゆうけいこていしさん,固定資産,固定資産のうち、物理的な形を持つ資産のこと。建物や車両運搬具などが含まれる。
郵便為替証書,ゆうびんかわせしょうしょ,現金,郵便局が発行する為替証書のこと。小切手と同様、送金手段として使われる。
利益準備金,りえきじゅんびきん,純資産,会社法によって義務付けられた利益の積立金。
利息,りそく,債権,お金を借りることに対する対価として支払うもの。利子ともいう。
利率,りりつ,計算,元本に対する利息の割合（パーセンテージ）。一般的に年利で表す。
現金,げんきん,基本,企業が保有する紙幣や硬貨。
買掛金,かいかけきん,債務,商品を掛けで仕入れたときに発生する支払い義務。
売掛金,うりかけきん,債権,商品を掛けで売り上げたときに発生する代金を受け取る権利。
借入金,かりいれきん,債務,銀行などから借りたお金。
貸付金,かしつけきん,債権,他者に貸し付けたお金。
借方,かりかた,基本,仕訳の左側。資産・費用の増加、負債・純資産・収益の減少を記録する。
貸方,かしかた,基本,仕訳の右側。負債・純資産・収益の増加、資産・費用の減少を記録する。
勘定科目,かんじょうかもく,基本,取引を分類するための項目名。
複式簿記,ふくしきぼき,基本,すべての取引を借方と貸方に分けて記録する方法。
資産,しさん,基本,企業が所有する経済的価値のあるもの。現金、売掛金、建物など。
負債,ふさい,基本,企業が将来支払わなければならない義務。買掛金、借入金など。
純資産,じゅんしさん,基本,資産から負債を差し引いた残額。資本金、繰越利益剰余金など。
収益,しゅうえき,基本,企業の活動により増加した純資産。売上、受取利息など。
費用,ひよう,基本,企業の活動により減少した純資産。仕入、給料、支払利息など。
